Comparison,Wilcoxon_W,Raw_p,Mean_difference_percentage_points,Holm_adjusted_p
EdgeNetTF vs MobileNetV2_1D,0.0,1.8189894035458565e-12,20.881257771638452,1.2732925824820995e-11
EdgeNetTF vs SqueezeNet1D,0.0,1.8189894035458565e-12,16.535944591810125,1.2732925824820995e-11
EdgeNetTF vs ResNet1D,0.0,1.8189894035458565e-12,10.314907267530838,1.2732925824820995e-11
EdgeNetTF vs ShuffleNetV2_1D,0.0,1.8189894035458565e-12,10.084718662978265,1.2732925824820995e-11
EdgeNetTF vs InceptionTime1D,0.0,1.8189894035458565e-12,9.681253970384063,1.2732925824820995e-11
EdgeNetTF vs DenseNet1D,0.0,1.8189894035458565e-12,8.130787413794337,1.2732925824820995e-11
EdgeNetTF vs CNN1D,0.0,1.8189894035458565e-12,5.997647841210741,1.2732925824820995e-11
