Variant,Causal5_Macro_F1_mean_pct,Causal5_Macro_F1_sd_pct
Temporal-only,84.81893779558814,4.269564724275951
FFT-only,87.0990369245343,4.49788967725074
EdgeNetTF-Gated,87.3249259597203,3.9847583204761485
EdgeNetTF,87.40969806069675,3.88844060836247
