Variant,Subject,Causal5_F1_Macro,Params_M
EdgeNetTF,40,0.9087011863923222,0.189105
EdgeNetTF-Gated,1,0.9237489063407062,0.189553
EdgeNetTF-Gated,2,0.8925985185681468,0.189553
EdgeNetTF-Gated,3,0.9299436797178317,0.189553
EdgeNetTF-Gated,4,0.8408823609742466,0.189553
EdgeNetTF-Gated,5,0.9291123956096794,0.189553
EdgeNetTF-Gated,6,0.8911541549107456,0.189553
EdgeNetTF-Gated,7,0.9101162450482388,0.189553
EdgeNetTF-Gated,8,0.9211570629284817,0.189553
EdgeNetTF-Gated,9,0.9173351168651432,0.189553
EdgeNetTF-Gated,10,0.8634316756302918,0.189553
EdgeNetTF-Gated,11,0.844759460226987,0.189553
EdgeNetTF-Gated,12,0.8008972251871248,0.189553
EdgeNetTF-Gated,13,0.915394538855024,0.189553
EdgeNetTF-Gated,14,0.8477467468151021,0.189553
EdgeNetTF-Gated,15,0.9030971301242778,0.189553
EdgeNetTF-Gated,16,0.8697860444915141,0.189553
EdgeNetTF-Gated,17,0.8826545963829214,0.189553
EdgeNetTF-Gated,18,0.8514727580551035,0.189553
EdgeNetTF-Gated,19,0.8898250640127483,0.189553
EdgeNetTF-Gated,20,0.843787428311947,0.189553
EdgeNetTF-Gated,21,0.9034496708228484,0.189553
EdgeNetTF-Gated,22,0.846837957976391,0.189553
EdgeNetTF-Gated,23,0.8927493326444562,0.189553
EdgeNetTF-Gated,24,0.7600994143018966,0.189553
EdgeNetTF-Gated,25,0.8312853976519218,0.189553
EdgeNetTF-Gated,26,0.9125954684644242,0.189553
EdgeNetTF-Gated,27,0.8706623614194698,0.189553
EdgeNetTF-Gated,28,0.8349947624377417,0.189553
EdgeNetTF-Gated,29,0.8461737481137727,0.189553
EdgeNetTF-Gated,30,0.8709270266881598,0.189553
EdgeNetTF-Gated,31,0.8178127166397245,0.189553
EdgeNetTF-Gated,32,0.8322128860517328,0.189553
EdgeNetTF-Gated,33,0.9368706902423392,0.189553
EdgeNetTF-Gated,34,0.8819558618189846,0.189553
EdgeNetTF-Gated,35,0.8634387452591427,0.189553
EdgeNetTF-Gated,36,0.8183896755540259,0.189553
EdgeNetTF-Gated,37,0.89157567164979,0.189553
EdgeNetTF-Gated,38,0.8392233554375095,0.189553
EdgeNetTF-Gated,39,0.8923625969230069,0.189553
EdgeNetTF-Gated,40,0.9174519347345208,0.189553
