Model,Params_M,Causal5_Macro_F1_mean_pct,Causal5_Macro_F1_sd_pct
MobileNetV2_1D,0.801681,66.52844028905831,6.119234745806891
SqueezeNet1D,0.281393,70.87375346888663,5.497016797017573
ResNet1D,1.907377,77.09479079316593,5.20884246216707
ShuffleNetV2_1D,0.713297,77.3249793977185,5.0380554965043585
InceptionTime1D,0.503217,77.72844409031269,5.272083177561513
DenseNet1D,0.620881,79.27891064690242,4.860277122418677
CNN1D,0.191729,81.41205021948602,4.736427897661864
EdgeNetTF,0.189105,87.40969806069675,3.88844060836247
